candidate_id,fdl_path,s2p_path,accepted,reject_reason,r0,W,S,N,pitch,outer_radius,fill_ratio,L_3p75_nH,Q_3p75,Q_3p0,Q_4p5
LQ_N4p5_R42_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R42_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R42_W11p2_S16.s2p,1,,42.0,11.2,16.0,4.5,27.2,164.39999999999998,0.4117647058823529,4.294666193572568,35.18779746365347,31.34418775589851,38.3186260904706
LQ_N4p5_R46_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R46_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R46_W11p2_S16.s2p,1,,46.0,11.2,16.0,4.5,27.2,168.39999999999998,0.4117647058823529,4.573207361478319,36.241410510567036,32.19311001136789,40.08493658321079
LQ_N4p5_R50_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R50_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R50_W11p2_S16.s2p,1,,50.0,11.2,16.0,4.5,27.2,172.39999999999998,0.4117647058823529,4.863996549752583,36.92827963796024,32.9511535150418,40.333333011115904
LQ_N4p5_R54_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R54_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R54_W11p2_S16.s2p,1,,54.0,11.2,16.0,4.5,27.2,176.39999999999998,0.4117647058823529,5.159910329646305,38.39991853098523,34.017903786645576,41.53667783953252
LQ_N4p5_R56_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R56_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R56_W11p2_S16.s2p,1,,56.0,11.2,16.0,4.5,27.2,178.39999999999998,0.4117647058823529,5.318277756511962,38.90104470802154,35.12587666222366,41.08843906631059
LQ_N4p5_R58_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R58_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R58_W11p2_S16.s2p,1,,58.0,11.2,16.0,4.5,27.2,180.39999999999998,0.4117647058823529,5.470001678239798,38.52465019013405,34.58879585331866,41.329704124336196
LQ_N4p5_R62_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R62_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R62_W11p2_S16.s2p,1,,62.0,11.2,16.0,4.5,27.2,184.39999999999998,0.4117647058823529,5.790179087672767,39.120281216872854,35.30416709209957,41.82513575166806
LQ_N3p5_R46_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R46_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R46_W11p2_S16.s2p,1,,46.0,11.2,16.0,3.5,27.2,141.2,0.4117647058823529,2.6302738757814788,34.09682586859339,29.51031303548795,37.97328189147343
LQ_N3p5_R50_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R50_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R50_W11p2_S16.s2p,1,,50.0,11.2,16.0,3.5,27.2,145.2,0.4117647058823529,2.7991444311231333,34.38578612619968,29.980444014078387,38.16485117286202
LQ_N3p5_R54_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R54_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R54_W11p2_S16.s2p,1,,54.0,11.2,16.0,3.5,27.2,149.2,0.4117647058823529,2.973101620959168,35.44496143230831,30.899143904643857,39.27870860625266
LQ_N3p5_R58_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R58_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R58_W11p2_S16.s2p,1,,58.0,11.2,16.0,3.5,27.2,153.2,0.4117647058823529,3.1509219436561793,36.26183194835258,31.604633258503423,40.17747407383396
LQ_N4p5_R46_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R46_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R46_W10p4_S14.s2p,1,,46.0,10.4,14.0,4.5,24.4,155.8,0.42622950819672134,4.372958349890187,35.14173190074509,31.224124413027262,38.863919703288396
LQ_N4p5_R50_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R50_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R50_W10p4_S14.s2p,1,,50.0,10.4,14.0,4.5,24.4,159.8,0.42622950819672134,4.662436518262993,36.06433756940121,31.962645712338045,39.24424315363566
LQ_N4p5_R54_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R54_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R54_W10p4_S14.s2p,1,,54.0,10.4,14.0,4.5,24.4,163.8,0.42622950819672134,4.961925114340603,36.80364984713721,32.72338575221442,39.88739992374008
